19:38:34.263 [restartedMain] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/api/config/{probeId}],methods=[GET]}" onto public org.springframework.http.ResponseEntity<com.simple2secure.api.model.Config> com.simple2secure.portal.controller.ConfigController.getConfigByProbeId(java.lang.String,java.lang.String)
19:38:34.263 [restartedMain] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/api/config/dto/{type}/{userId}],methods=[GET]}" onto public org.springframework.http.ResponseEntity<java.util.List<com.simple2secure.api.dto.ConfigDTO>> com.simple2secure.portal.controller.ConfigController.getConfigDtoByUserUUID(java.lang.String,java.lang.String,java.lang.String)
19:38:34.263 [restartedMain] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/api/config/query/group/{groupId}/{select_all}],methods=[GET]}" onto public org.springframework.http.ResponseEntity<java.util.List<com.simple2secure.api.model.QueryRun>> com.simple2secure.portal.controller.ConfigController.getQueriesByGroupId(java.lang.String,boolean,java.lang.String)
19:38:34.263 [restartedMain] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/api/config/query],methods=[POST]}" onto public org.springframework.http.ResponseEntity<com.simple2secure.api.model.QueryRun> com.simple2secure.portal.controller.ConfigController.updateQuery(com.simple2secure.api.model.QueryRun,java.lang.String) throws com.simple2secure.portal.dao.exceptions.ItemNotFoundRepositoryException
19:38:34.264 [restartedMain] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/api/config/query/{queryId}],methods=[DELETE]}" onto public org.springframework.http.ResponseEntity<?> com.simple2secure.portal.controller.ConfigController.deleteConfig(java.lang.String,java.lang.String)
19:38:34.264 [restartedMain] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/api/config/query/{id}],methods=[GET]}" onto public org.springframework.http.ResponseEntity<com.simple2secure.api.model.QueryRun> com.simple2secure.portal.controller.ConfigController.getQueryByID(java.lang.String,java.lang.String)
19:38:34.264 [restartedMain] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/api/config],methods=[POST],consumes=[application/json]}" onto public org.springframework.http.ResponseEntity<com.simple2secure.api.model.Config> com.simple2secure.portal.controller.ConfigController.saveConfig(com.simple2secure.api.model.Config,java.lang.String) throws com.simple2secure.portal.dao.exceptions.ItemNotFoundRepositoryException
19:38:34.264 [restartedMain] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/api/configs/{id}],methods=[GET]}" onto public org.springframework.http.ResponseEntity<com.simple2secure.api.model.Config> com.simple2secure.portal.controller.ConfigController.getConfigByID(java.lang.String,java.lang.String)
19:38:34.264 [restartedMain] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/api/config/update/group],methods=[POST],consumes=[application/json]}" onto public org.springframework.http.ResponseEntity<com.simple2secure.api.model.Config> com.simple2secure.portal.controller.ConfigController.applyGroupConfig(com.simple2secure.api.model.Config,java.lang.String) throws com.simple2secure.portal.dao.exceptions.ItemNotFoundRepositoryException
19:38:34.265 [restartedMain] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/error]}" onto public java.util.Map<java.lang.String, java.lang.Object> com.simple2secure.portal.controller.CustomErrorController.error(javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse)
19:38:34.265 [restartedMain] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/api/device/{deviceId}/{userId}],methods=[GET]}" onto public org.springframework.http.ResponseEntity<com.simple2secure.api.model.Probe> com.simple2secure.portal.controller.DeviceController.getDevice(java.lang.String,java.lang.String,java.lang.String)
